scale_GeV,coefficient
8091,0.948539458122029
8141,0.94852025485283
8191,0.9485011691650024
8241,0.9484821996274059
8291,0.9484633448348714
8341,0.9484446034075753
8391,0.9484259739904348
8441,0.9484074552525187
8491,0.9483890458864777
8541,0.9483707446079902
8591,0.9483525501552249
8641,0.9483344612883184
8691,0.9483164767888683
8741,0.9482985954594412
8791,0.9482808161230932
8841,0.9482631376229065
8891,0.9482455588215363
8941,0.9482280786007727
8991,0.9482106958611135
9041,0.9481934095213489
9091,0.9481762185181586
9141,0.9481591218057187
9191,0.9481421183553204
9241,0.9481252071549983
9291,0.9481083872091689
9341,0.9480916575382795
9391,0.9480750171784651
9441,0.9480584651812156
9491,0.9480420006130513
9541,0.9480256225552073
9591,0.9480093301033249
9641,0.9479931223671534
9691,0.9479769984702567
9741,0.9479609575497303
9791,0.9479449987559231
9841,0.9479291212521677
9891,0.9479133242145177
9941,0.9478976068314903
9991,0.9478819683038167
10041,0.9478664078441982
10091,0.9478509246770681
10141,0.94783551803836
10191,0.9478201871752812
10241,0.9478049313460927
10291,0.9477897498198928
10341,0.9477746418764081
10391,0.9477596068057877
10441,0.9477446439084032
10491,0.9477297524946534
10541,0.9477149318847738
10591,0.9477001814086504
10641,0.9476855004056373
10691,0.9476708882243798
10741,0.9476563442226408
10791,0.9476418677671313
10841,0.9476274582333452
10891,0.9476131150053972
10941,0.9475988374758655
10991,0.9475846250456366
11041,0.9475704771237553
11091,0.9475563931272767
11141,0.9475423724811224
11191,0.9475284146179391
11241,0.9475145189779617
11291,0.9475006850088776
11341,0.9474869121656958
11391,0.9474731999106175
11441,0.9474595477129105
11491,0.9474459550487858
11541,0.9474324214012767
11591,0.9474189462601215
11641,0.9474055291216472
11691,0.9473921694886573
11741,0.9473788668703212
11791,0.9473656207820651
11841,0.9473524307454673
11891,0.9473392962881536
11941,0.9473262169436963
11991,0.9473131922515147
12041,0.9473002217567774
12091,0.9472873050103078
12141,0.9472744415684898
12191,0.9472616309931774
12241,0.9472488728516041
12291,0.9472361667162961
12341,0.9472235121649855
12391,0.947210908780527
12441,0.9471983561508149
12491,0.947185853868702
12541,0.9471734015319208
12591,0.9471609987430056
12641,0.9471486451092167
12691,0.9471363402424653
12741,0.9471240837592406
12791,0.9471118752805381
12841,0.9470997144317894
12891,0.9470876008427929
12941,0.9470755341476461
12991,0.9470635139846802
13041,0.9470515399963939
13091,0.9470396118293901
13141,0.9470277291343135
13191,0.9470158915657891
13241,0.9470040987823616
13291,0.9469923504464367
13341,0.9469806462242231
13391,0.9469689857856753
13441,0.9469573688044381
13491,0.9469457949577919
13541,0.9469342639265979
13591,0.9469227753952467
13641,0.9469113290516057
13691,0.946899924586968
13741,0.9468885616960033
13791,0.9468772400767079
13841,0.9468659594303572
13891,0.9468547194614578
13941,0.946843519877702
13991,0.946832360389921
14041,0.9468212407120413
14091,0.9468101605610396
14141,0.9467991196569004
14191,0.9467881177225731
14241,0.9467771544839304
14291,0.9467662296697273
14341,0.9467553430115611
14391,0.9467444942438312
14441,0.946733683103701
14491,0.946722909331059
14541,0.9467121726684816
14591,0.9467014728611964
14641,0.9466908096570453
14691,0.9466801828064497
14741,0.9466695920623743
14791,0.946659037180294
14841,0.9466485179181587
14891,0.9466380340363613
14941,0.9466275852977035
14991,0.946617171467365
15041,0.946606792312871
15091,0.9465964476040614
15141,0.9465861371130596
15191,0.9465758606142434
15241,0.9465656178842143
15291,0.9465554087017695
15341,0.9465452328478718
15391,0.946535090105623
15441,0.9465249802602348
15491,0.9465149030990021
15541,0.9465048584112765
15591,0.9464948459884392
15641,0.9464848656238755
15691,0.9464749171129486
15741,0.9464650002529754
15791,0.9464551148432008
15841,0.9464452606847737
15891,0.9464354375807232
15941,0.9464256453359345
15991,0.9464158837571262
16041,0.9464061526528267
16091,0.9463964518333524
16141,0.9463867811107851
16191,0.9463771402989503
16241,0.9463675292133954
16291,0.946357947671369
16341,0.9463483954918
16391,0.9463388724952765
16441,0.9463293785040261
16491,0.9463199133418958
16541,0.9463104768343327
16591,0.9463010688083642
16641,0.9462916890925791
16691,0.9462823375171093
16741,0.9462730139136108
16791,0.9462637181152457
16841,0.9462544499566644
16891,0.9462452092739878
16941,0.94623599590479
16991,0.9462268096880811
17041,0.9462176504642906
17091,0.9462085180752502
17141,0.9461994123641779
17191,0.9461903331756618
17241,0.9461812803556438
17291,0.9461722537514045
17341,0.9461632532115473
17391,0.9461542785859832
17441,0.9461453297259161
17491,0.9461364064838277
17541,0.946127508713463
17591,0.9461186362698157
17641,0.9461097890091146
17691,0.946100966788809
17741,0.946092169467555
17791,0.9460833969052027
17841,0.9460746489627816
17891,0.9460659255024881
17941,0.9460572263876725
17991,0.9460485514828259
18041,0.9460399006535677
18091,0.9460312737666329
18141,0.9460226706898601
18191,0.9460140912921793
18241,0.9460055354435993
18291,0.945997003015197
18341,0.9459884938791047
18391,0.9459800079084992
18441,0.9459715449775903
18491,0.9459631049616096
18541,0.9459546877367994
18591,0.9459462931804018
18641,0.9459379211706482
18691,0.9459295715867486
18741,0.9459212443088808
18791,0.9459129392181805
18841,0.9459046561967313
18891,0.9458963951275536
18941,0.9458881558945961
18991,0.9458799383827251
19041,0.945871742477715
19091,0.945863568066239
19141,0.9458554150358595
19191,0.9458472832750189
19241,0.9458391726730303
19291,0.9458310831200687
19341,0.9458230145071621
19391,0.9458149667261823
19441,0.9458069396698364
19491,0.9457989332316586
19541,0.9457909473060013
19591,0.9457829817880266
19641,0.9457750365736982
19691,0.945767111559774
19741,0.9457592066437966
19791,0.9457513217240867
19841,0.9457434566997343
19891,0.9457356114705914
19941,0.9457277859372644
19991,0.9457199800011065
20041,0.9457121935642098
20091,0.9457044265293986
20141,0.9456966788002218
